legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bayesian_with_replacement | a=1 | b=1 | min_stop=300 | critical_value=0.0073242187598535164,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,1701.0,1114.0,787.0,461.0,318.0,300.0,300.0,300.0,300.0,300.0
