,,0.5,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo    | p=0.7 | min_stop=50 | alpha=0.23123828124999998,50,0.03178796477069763,0.005103616013868313,0.016194447445148866,0.03178796477069763,0.043341368000065876,0.05806513035023819,0.07646666101870987,0.09902290490077531,0.12614283377742946,0.15812665185284575,0.23710245000523952,0.33476501883199233,0.4463818348112161,0.5640172307622374,0.6779831269295326,0.7790432502138076,0.8606115235637023
bravo    | p=0.7 | min_stop=50 | alpha=0.23123828124999998,60,0.007483622308074087,0.0010273180428995417,0.0036416648773162294,0.007483622308074087,0.01035005285861434,0.013981475590572926,0.018451656008458953,0.023793484292991048,0.02998237465001753,0.03692161692545245,0.05225128170432064,0.0673900289809765,0.07907806880366097,0.08419955098814863,0.0810370855786636,0.07013251951116221,0.05420741433811324
bravo    | p=0.7 | min_stop=50 | alpha=0.23123828124999998,70,0.004253848219629756,0.0004520390347744707,0.0018924250695132568,0.004253848219629756,0.006114895439386774,0.008550558161325774,0.011633184946075237,0.015401883124021352,0.019845609203650038,0.024887824073790733,0.0360787797658109,0.046873255812672675,0.054459425201207355,0.05639286983893332,0.051796330524026456,0.041928554236244774,0.029663471861013244
bravo    | p=0.7 | min_stop=50 | alpha=0.23123828124999998,80,0.002680683661701152,0.0002199376799985088,0.0010891395742106558,0.002680683661701152,0.004007280027508722,0.005803227032798298,0.008143557892090345,0.011075418686467322,0.014599963484643326,0.018655246425003266,0.02773037932447616,0.03632890704673799,0.04183572801976729,0.042176425260250186,0.037011518465424144,0.028056635362333538,0.018191013607520415
bravo    | p=0.7 | min_stop=50 | alpha=0.23123828124999998,90,0.0017716761088575929,0.00011206142108522822,0.0006570330541109454,0.0017716761088575929,0.002754827138836782,0.004132678181326686,0.005982930006286673,0.008360310725093856,0.011277204789399338,0.014684482299767685,0.022389819556256026,0.02958677494674593,0.033779015514441284,0.03316098764052608,0.027806853974101133,0.019741462658297376,0.011730692844531479
bravo    | p=0.7 | min_stop=50 | alpha=0.23123828124999998,100,0.0002891884487652448,1.1713992766007026e-05,9.096919231668217e-05,0.0002891884487652448,0.0004850297849751858,0.0007814531170618336,0.001209817187251087,0.0018001654704985343,0.0025747375719602623,0.003539905522914555,0.005940904678932737,0.008494031553733638,0.010309873208372712,0.010566499128790157,0.009075639271430075,0.006467440344551832,0.0037742196197876224
bravo    | p=0.7 | min_stop=50 | alpha=0.23123828124999998,110,0.0003533510099638578,1.081506157693817e-05,0.00010061124020831925,0.0003533510099638578,0.0006191691728966676,0.0010380988493074279,0.0016658838940693701,0.0025593635130412677,0.00376495326551896,0.005303237964785277,0.009233968571222542,0.013484644629114789,0.016453295165676084,0.016676219118918978,0.01392619344780976,0.009478400247788754,0.0051839875407792045
bravo    | p=0.7 | min_stop=50 | alpha=0.23123828124999998,120,0.0002919029684859018,6.847421235925514e-06,7.569673835921145e-05,0.0002919029684859018,0.0005326074896340836,0.0009259761504890803,0.0015345330002621556,0.002424636119031025,0.0036531786129266283,0.005248790160783992,0.009391021479948346,0.013856390636854678,0.016788984879785997,0.016596182464280504,0.013263501627262971,0.008466917774395878,0.00425000834153034
bravo    | p=0.7 | min_stop=50 | alpha=0.23123828124999998,130,0.00022602465814892272,4.064078924836702e-06,5.338897516824244e-05,0.00022602465814892272,0.0004293803309206221,0.0007739927737204704,0.0013243718570552778,0.002151673923217126,0.0033196874248409233,0.004863827918584095,0.008936490613453422,0.013312458968010971,0.01600275746677032,0.015411515788591713,0.011772150691981694,0.007037839383886043,0.003236562683232411
bravo    | p=0.7 | min_stop=50 | alpha=0.23123828124999998,140,0.00017145217600470796,2.3610954936302105e-06,3.687931627639191e-05,0.00017145217600470796,0.0003391484320787798,0.0006339001128405529,0.0011199939580890455,0.0018710904496005367,0.0029561027491170023,0.004416639748164265,0.008332712260908256,0.012530395939874784,0.014940227821457605,0.014012821882879424,0.01022588254514131,0.005722062821029809,0.0024091825710590687
bravo    | p=0.7 | min_stop=50 | alpha=0.23123828124999998,150,0.00012905920333116126,1.3598268066903743e-06,2.527106298002618e-05,0.00012905920333116126,0.0002658633096698753,0.0005153231364744286,0.0009402475750519433,0.001615369435505227,0.002613548894469239,0.0039821408015281,0.007715015588810221,0.011710886544236356,0.013848132228011414,0.012647184522057561,0.008814752859657247,0.004614895815571355,0.001778001753372236
bravo    | p=0.7 | min_stop=50 | alpha=0.23123828124999998,160,9.688260480427208e-05,7.801802813951601e-07,1.726288677288386e-05,9.688260480427208e-05,0.00020787693745389653,0.00041790565672627616,0.0007875192976983341,0.0013915098295407653,0.002305771556379079,0.003582987751655497,0.007128977141293949,0.010923433531446107,0.0128097650844905,0.011389761030447308,0.007580019371333641,0.0037117421776187987,0.0013080026371734982
bravo    | p=0.7 | min_stop=50 | alpha=0.23123828124999998,170,7.268789645328487e-05,4.468717048354537e-07,1.1781369963511423e-05,7.268789645328487e-05,0.0001624743844628553,0.0003388213995998045,0.000659522559804934,0.0011986653949259656,0.0020344141765708296,0.003224363943876793,0.006589157620072379,0.010191824859361806,0.011852042936485006,0.010258447101277369,0.006517533888851025,0.0029840848795995205,0.0009614339756223809
bravo    | p=0.7 | min_stop=50 | alpha=0.23123828124999998,180,5.456092894752302e-05,2.5578988211217515e-07,8.041026342674803e-06,5.456092894752302e-05,0.00012706898622360336,0.00027491868532082697,0.000552835498199795,0.0010336101137746023,0.0017970129878130676,0.002905130129215962,0.006098185169537086,0.009521973145339672,0.010980176735191352,0.009250391478244599,0.005609416414476656,0.0024006790551451534,0.0007068714515505224
bravo    | p=0.7 | min_stop=50 | alpha=0.23123828124999998,190,4.099320609170435e-05,1.463855230439217e-07,5.491178442206203e-06,4.099320609170435e-05,9.948976115509739e-05,0.0002233508198752551,0.00046405551103053614,0.0008926340336327863,0.001589876826100597,0.002621938127407744,0.0056539698128504805,0.008912506346878315,0.010190762449035719,0.008355427543416978,0.004834965971830256,0.001933605300495431,0.0005201084844606288
bravo    | p=0.7 | min_stop=50 | alpha=0.23123828124999998,200,3.0834735259825887e-05,8.377423675002645e-08,3.7527025451719073e-06,3.0834735259825887e-05,7.799914355324551e-05,0.00018172298530930332,0.0003901588799547958,0.0007722153915391178,0.0014091822085629594,0.0023708612094953106,0.0052526812050285475,0.008359186595364615,0.009477184876449333,0.007561396271270898,0.004174511217694516,0.001559580161890283,0.0003830675138760064
bravo    | p=0.7 | min_stop=50 | alpha=0.23123828124999998,210,2.3221569954757266e-05,4.7944779431097024e-08,2.566673731914744e-06,2.3221569954757266e-05,6.123494383097837e-05,0.00014808026416217809,0.00032857696418182755,0.0006692351933206715,0.0012513812735910844,0.0021480504620554966,0.004890032690947774,0.007856849690298288,0.008831951752437618,0.0068562962784841875,0.0036106365770741814,0.0012597457997745348,0.00028243155971137965
