,,0.5,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
max_sprt | min_stop=300 | alpha=0.049779296875,300,0.006122451912887907,1.0435449447547417e-05,0.0006797624434772549,0.006122451912887907,0.015528876741175904,0.03533247317933979,0.07232771981530384,0.13365911898352958,0.22387515127880747,0.3415684994432453,0.6169097927130581,0.8435823246279628,0.9581450585664331,0.9930595804881656,0.9993223738129945,0.9999630380013083,0.9999989378418533
max_sprt | min_stop=300 | alpha=0.049779296875,301,0.0011699256732597744,3.151803423455423e-06,0.00015962190533302083,0.0011699256732597744,0.0026353410510142326,0.0052559757381028215,0.009283837153503094,0.01452280098026825,0.020113301763964787,0.02464654470835585,0.025530468553816642,0.015958926401887574,0.0059181236866684825,0.0012718417932960713,0.00015359929882355377,1.0020646384674483e-05,3.358736473222746e-07
max_sprt | min_stop=300 | alpha=0.049779296875,303,0.0006772381287828352,1.8048776752138433e-06,9.223199943702349e-05,0.0006772381287828352,0.0015250334363359672,0.003038062735786034,0.0053556470409672164,0.008354374290449322,0.011528187349877799,0.014063027180151799,0.014399382485952177,0.008865469297533284,0.0032260792659538563,0.0006776498280073772,7.965531395127464e-05,5.035014203978264e-06,1.6270624097129308e-07
max_sprt | min_stop=300 | alpha=0.049779296875,305,0.0005596519096509526,1.4754650410529379e-06,7.607887017624488e-05,0.0005596519096509526,0.0012598398311747258,0.002506879465433266,0.004410517355602734,0.00686073075972201,0.009432596622865833,0.011454965048185432,0.01159364732169031,0.00703055385731117,0.002510464174573156,0.0005154225401084167,5.896896169554357e-05,3.6114841235817907e-06,1.1251456770561811e-07
max_sprt | min_stop=300 | alpha=0.049779296875,307,0.0005038479619509658,1.3140565134821828e-06,6.83677442870532e-05,0.0005038479619509658,0.0011338515624048156,0.0022535903031663798,0.003957051891990395,0.006138060959105623,0.008408248677733092,0.01016511665343236,0.010169483689092023,0.00607405285707574,0.002128298242933243,0.0004270893884304086,4.755836105131316e-05,2.8220339236933432e-06,8.476196678995429e-08
max_sprt | min_stop=300 | alpha=0.049779296875,309,0.00047093300480336814,1.2150000885065402e-06,6.378468167423905e-05,0.00047093300480336814,0.0010594370295069068,0.0021032672220310657,0.0036857999244680984,0.005701243234708819,0.007781387797952762,0.00936500018255069,0.009260906580385529,0.005448061356849141,0.0018731975714063678,0.0003674046351925537,3.9819712972307006e-05,2.2893038295359652e-06,6.629094239646819e-08
max_sprt | min_stop=300 | alpha=0.049779296875,312,0.00022416934286867781,5.138865126341685e-07,2.9072600948124063e-05,0.00022416934286867781,0.0005144049267523734,0.0010404123447516269,0.0018552290003293703,0.002916539705616132,0.004040812270047823,0.004930773609163471,0.004994583478719648,0.0029953164731083923,0.001044769184297465,0.0002068420124809105,2.2510413491994628e-05,1.2923916019184946e-06,3.715401726117949e-08
max_sprt | min_stop=300 | alpha=0.049779296875,314,0.0002726779106563186,6.183532839158096e-07,3.529888155635956e-05,0.0002726779106563186,0.0006255168406860074,0.0012636900655334116,0.002248917827211064,0.003525515294322938,0.00486672300742429,0.0059118969084410505,0.005919288819921451,0.003496393547113381,0.0011966945618663168,0.00023156518297675225,2.452783245412056e-05,1.3643771904201161e-06,3.7813895858494236e-08
max_sprt | min_stop=300 | alpha=0.049779296875,316,0.00029334004433763904,6.58040796416681e-07,3.790403963654427e-05,0.00029334004433763904,0.00067269859736407,0.0013574479091461409,0.002410998841479958,0.0037689850549426545,0.005183837282074208,0.006268808695015612,0.006204190372923652,0.003609456808726617,0.0012122396048330339,0.00022927029484410153,2.3635906243382552e-05,1.2738227383909064e-06,3.4035136933590527e-08
max_sprt | min_stop=300 | alpha=0.049779296875,318,0.0003044621262557034,6.756293892695179e-07,3.9269051819357304e-05,0.0003044621262557034,0.0006979792893483933,0.0014068447417263535,0.0024937943599458836,0.0038874623892420097,0.0053272826563279495,0.006413312854042527,0.006273918882348584,0.0035950108219841934,0.0011847553448869233,0.00021900559312367494,2.1974327992118857e-05,1.1473888711711517e-06,2.9554721976332324e-08
max_sprt | min_stop=300 | alpha=0.049779296875,320,0.00031134024313863283,6.834446464388105e-07,4.0082539747665935e-05,0.00031134024313863283,0.0007135174248590751,0.0014365114831686138,0.0025413473692954794,0.003950458393824108,0.005393855423493121,0.006464257004776944,0.006250725337638188,0.0035277264510396276,0.0011407841386043456,0.00020610809250192478,2.0127448955381974e-05,1.0182135892250792e-06,2.5284192045913002e-08
max_sprt | min_stop=300 | alpha=0.049779296875,322,0.0003160575394349962,6.863191349300788e-07,4.061521876955053e-05,0.0003160575394349962,0.0007240949398628867,0.0014561322230971696,0.002570964203392191,0.003985264398603188,0.005421517860018679,0.00646818496675962,0.006182277767743666,0.003436487710313478,0.0010904398344600609,0.00019255559791264568,1.83012392272371e-05,8.969796872437267e-07,2.1472516805939204e-08
max_sprt | min_stop=300 | alpha=0.049779296875,325,0.00015943322188205454,3.0758610438253905e-07,1.961714820113628e-05,0.00015943322188205454,0.0003725872186318682,0.0007633443598038224,0.001371437175624428,0.002160599968824595,0.0029837024162329014,0.003609242928742306,0.0035336657369389748,0.0020023900452635296,0.0006445709290685824,0.00011488901658024021,1.096444730692014e-05,5.366401344382249e-07,1.2753492267275876e-08
max_sprt | min_stop=300 | alpha=0.049779296875,327,0.00020070423753516527,3.8302696932744295e-07,2.4649837393214006e-05,0.00020070423753516527,0.00046888520910137916,0.0009595343112412906,0.0017205079322969163,0.0027029191934819442,0.0037190006323285845,0.004478463183565639,0.004334030160237831,0.0024188862739085927,0.0007640354572877818,0.00013310089275853155,1.236276593860901e-05,5.86217339998815e-07,1.3430374687280414e-08
max_sprt | min_stop=300 | alpha=0.049779296875,329,0.00022218952813314762,4.1945015369743633e-07,2.7238388311624204e-05,0.00022218952813314762,0.0005189128324881657,0.0010606930233941136,0.00189813221945148,0.002973586179274182,0.004076481197602933,0.004886860529817249,0.004674610044783268,0.0025696136451400188,0.0007964163383930515,0.00013560168976521546,1.2258112099144266e-05,5.631317816462394e-07,1.2437102199524413e-08
max_sprt | min_stop=300 | alpha=0.049779296875,331,0.00023619615372973138,4.410751466536743e-07,2.890219202938178e-05,0.00023619615372973138,0.0005514478525778445,0.0011259029986411947,0.0020108428340801167,0.0031413015747387895,0.0042906782057937475,0.005120493121729397,0.004841486281790571,0.0026211910724217684,0.0007971563665184431,0.00013265504554281336,1.1670875362598239e-05,5.194337253699093e-07,1.1058983347723351e-08
max_sprt | min_stop=300 | alpha=0.049779296875,333,0.000246437017467383,4.5522671452904526e-07,3.009981892778806e-05,0.000246437017467383,0.0005751728118607238,0.001172994559335449,0.002090804266967667,0.0032570323177551668,0.004432507231619698,0.0052659439729015635,0.004921455697599008,0.00262427714605169,0.000783114534430069,0.00012736751609487113,1.090578343852793e-05,4.70241192680832e-07,9.651122422594138e-09
