,,0.5,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | min_stop=50 | alpha=1,60,0.036459398153202184,0.004344938951994037,0.016827453060136777,0.036459398153202184,0.05173228257245279,0.0716893036923662,0.0970843124275278,0.12855791989152424,0.16655294329037568,0.21123101580309844,0.31947842625129497,0.44699507656009296,0.5818353334220078,0.7093629536879829,0.8166861104342525,0.8965024821717986,0.9484877946641149
bravo_without_replacement | p=0.7 | min_stop=50 | alpha=1,80,0.006060383559717684,0.0003951098857201042,0.002284478221982135,0.006060383559717684,0.009333093988297883,0.013856486115783079,0.019841326006099478,0.027411021718662543,0.03654460032831371,0.04702529402285509,0.07002445796527601,0.09045353276704834,0.1011476147437553,0.09755452817887503,0.08071406345843003,0.05686468897563688,0.033781678916780744
bravo_without_replacement | p=0.7 | min_stop=50 | alpha=1,100,0.0020661911969085058,6.291470194127514e-05,0.0005968499975032076,0.0020661911969085058,0.0035687978955370628,0.005871859866597595,0.009208356290805693,0.013769957511939409,0.019640873323598682,0.026726587404014363,0.042973132096508895,0.05717029842135314,0.06271890665016633,0.05641621360511735,0.041265161452696174,0.024267978396169874,0.011305510093555115
bravo_without_replacement | p=0.7 | min_stop=50 | alpha=1,120,0.0007553313959222787,9.85334038209701e-06,0.0001622786028388364,0.0007553313959222787,0.0014821780373598403,0.0027340011735082718,0.004744236093284264,0.007749186503655866,0.011919066732881655,0.017267169099084094,0.0302800424578665,0.04171362466059555,0.044926866841721466,0.03752864224532766,0.024032542200468715,0.011612801077925505,0.0041464108803067655
bravo_without_replacement | p=0.7 | min_stop=50 | alpha=1,140,0.0002740374534207245,1.3862543072630392e-06,4.231924968584421e-05,0.0002740374534207245,0.0006198620422814455,0.0012985567334939736,0.0025220402242872274,0.0045446941881602445,0.007602390132450776,0.011809088740847663,0.022814400307391545,0.03269172555572468,0.03452493058580325,0.026585944731950178,0.014697302009002395,0.005710044736900858,0.0015154698525138058
bravo_without_replacement | p=0.7 | min_stop=50 | alpha=1,160,9.495372616577664e-05,1.654570767116647e-07,1.0123680985639321e-05,9.495372616577664e-05,0.00025184366401646407,0.0006083383797660983,0.001340129597467278,0.002695164889579783,0.00495190315986947,0.008315397200320672,0.017902266728455806,0.026814062396497355,0.02771358999164617,0.019493394430194766,0.009144064707210641,0.0027817383903058056,0.0005286265615304181
bravo_without_replacement | p=0.7 | min_stop=50 | alpha=1,180,3.050171909438263e-05,1.586646421121615e-08,2.1391824975561454e-06,3.050171909438263e-05,9.681047346957739e-05,0.00027454580650197583,0.0006969370373190704,0.001585852547218917,0.0032377703905258535,0.005934583753634838,0.0144303744812392,0.022719352581879997,0.0229242790659474,0.014565895027625014,0.005678404187194259,0.0013100222671115435,0.0001703191974643441
bravo_without_replacement | p=0.7 | min_stop=50 | alpha=1,200,8.820791376591437e-06,1.1489905490879967e-09,3.8366802747074193e-07,8.820791376591437e-06,3.4339238546802894e-05,0.00011684429050900683,0.00034835598893842123,0.0009117088117291443,0.00209743086278711,0.004244922196238054,0.011845805605961756,0.01973454893734094,0.01938115536039625,0.010975475222659922,0.003467420023022946,0.0005834459047874532,4.90737474474125e-05
bravo_without_replacement | p=0.7 | min_stop=50 | alpha=1,220,2.221462350226505e-06,5.815689945619481e-11,5.571232138210046e-08,2.221462350226505e-06,1.0933664791067908e-05,4.5842799976438485e-05,0.00016428638659675708,0.0005045164601411443,0.0013301456002223974,0.0030142536924407954,0.009841761683967212,0.017488142476170258,0.016654396416487718,0.008268827319789116,0.00205268178288521,0.00024009338544489422,1.2185205396133706e-05
bravo_without_replacement | p=0.7 | min_stop=50 | alpha=1,240,4.6769258146665604e-07,1.8572431954035465e-12,6.168299887994042e-09,4.6769258146665604e-07,3.0226844234298885e-06,1.6142956253102092e-05,7.156839162408753e-05,0.0002643351720557521,0.0008154862665591597,0.0021049551053248404,0.008234136908748524,0.01575901820798381,0.014485764136329975,0.006179076068694032,0.0011600248924422882,8.880937590151893e-05,2.4896701871981867e-06
bravo_without_replacement | p=0.7 | min_stop=50 | alpha=1,260,1.747661290259502e-08,4.634607947394865e-15,9.074803851006496e-11,1.747661290259502e-08,1.6894120261264675e-07,1.2982907346920818e-06,7.984830782616272e-06,3.950844142601558e-05,0.00015788434543519665,0.0005109318174635345,0.0028544692583389194,0.006870782040312941,0.006968381331873271,0.002849662605231713,0.00043812153203026384,2.2837577611920582e-05,3.4757902075373755e-07
