,,0.5,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | min_stop=300 | alpha=1,300,0.00018556445644175577,5.5391725845100136e-08,1.036638294479571e-05,0.00018556445644175577,0.0006595899383187106,0.0020930494594743766,0.0059409761897095325,0.015113844277407548,0.03453510304959373,0.07105058188297876,0.22220382514502338,0.4778606512276455,0.745919844057619,0.9175917524664565,0.9833679401117649,0.9980356652171383,0.9998723721849238
bravo_without_replacement | p=0.7 | min_stop=300 | alpha=1,303,1.2732401771164031e-05,4.4198907147355385e-09,7.692241499398031e-07,1.2732401771164031e-05,4.3037332850590895e-05,0.00012873187426618057,0.00034095512667831366,0.0007998623733199166,0.0016620659620267132,0.0030582595052408316,0.007170554203609243,0.01022240899709622,0.008738013865288842,0.004389625926396938,0.0012614214230698678,0.00020016647285051514,1.6763388519506726e-05
bravo_without_replacement | p=0.7 | min_stop=300 | alpha=1,305,1.4285071178538833e-05,4.904532380268052e-09,8.613802985824097e-07,1.4285071178538833e-05,4.827193620190988e-05,0.00014422952123317688,0.00038126259907038704,0.0008919474579258651,0.0018467341904585537,0.0033829357346002818,0.007840999021942453,0.011010905739721827,0.009236666006445005,0.004535792846997668,0.0012687729428936957,0.0001950934724628645,1.5753941667806543e-05
bravo_without_replacement | p=0.7 | min_stop=300 | alpha=1,308,7.385820865598225e-06,2.2524699375197638e-09,4.2639401189181673e-07,7.385820865598225e-06,2.545944901528322e-05,7.750227710104092e-05,0.00020847987920148188,0.0004957203171797293,0.0010419339052865852,0.0019353093154909314,0.0045953403288774425,0.006579257374530148,0.005599635922831962,0.0027759560227236255,0.0007798221860446697,0.00011976377338330779,9.602944733462883e-06
bravo_without_replacement | p=0.7 | min_stop=300 | alpha=1,310,9.401873434897566e-06,2.8358395754361135e-09,5.417444356040458e-07,9.401873434897566e-06,3.2399832152283224e-05,9.852071966282128e-05,0.00026450667924887857,0.0006272007016824497,0.0013135367604367738,0.002428933696944937,0.005701400188997166,0.008040635478683176,0.006715892291702425,0.0032544418914594226,0.0008899249007594454,0.00013243587313145578,1.0238916889291074e-05
bravo_without_replacement | p=0.7 | min_stop=300 | alpha=1,313,5.242970349412749e-06,1.4046484848975697e-09,2.8923403874779127e-07,5.242970349412749e-06,1.8430926509813946e-05,5.710066987366168e-05,0.00015600295922226358,0.00037597839143203865,0.0007993542718730691,0.0014987724737375982,0.0036040820557256496,0.005182191654049638,0.004391560444925541,0.0021483581509248923,0.0005899766565997364,8.76911662608401e-05,6.73182626135925e-06
bravo_without_replacement | p=0.7 | min_stop=300 | alpha=1,315,6.948726681488994e-06,1.8411769373096073e-09,3.8259804097266057e-07,6.948726681488994e-06,2.4420466701858606e-05,7.557323314614826e-05,0.0002060722410157479,0.0004952758571330963,0.0010491943233145163,0.0019584635149236377,0.004655564292727981,0.006593853874043568,0.005483689546522218,0.0026222705942267393,0.0007009633385506,0.00010095629744599442,7.47262661418373e-06
bravo_without_replacement | p=0.7 | min_stop=300 | alpha=1,318,3.997785622224169e-06,9.408290879284867e-10,2.1073714416966915e-07,3.997785622224169e-06,1.4332208774929208e-05,4.5189714012899225e-05,0.0001253939479979324,0.00030631414429237223,0.0006587474249672051,0.001246819498293516,0.0030363860078303846,0.004384664085129918,0.00369967214903516,0.0017860067924627342,0.00047945870768467414,6.896928745777232e-05,5.0689789457518496e-06
bravo_without_replacement | p=0.7 | min_stop=300 | alpha=1,320,5.404929269312081e-06,1.2579816437398478e-09,2.8436418274189e-07,5.404929269312081e-06,1.937150838050679e-05,6.101134060120833e-05,0.0001689693309970452,0.0004116198123626954,0.0008820244501884841,0.001661989812070639,0.004001095742162288,0.005691215298217556,0.004712569710723,0.002223777312151688,0.000581091970263919,8.09955554466222e-05,5.739606795727219e-06
bravo_without_replacement | p=0.7 | min_stop=300 | alpha=1,323,3.163105641791801e-06,6.538480758800006e-10,1.5932164460421042e-07,3.163105641791801e-06,1.1564730202805796e-05,3.71106246467966e-05,0.0001045885160383784,0.00025896308099239906,0.0005633362531881734,0.0010763230949282752,0.0026545643484682012,0.0038497638435899496,0.003234309382094351,0.0015407440147673151,0.00040432758289826764,5.628773596156523e-05,3.960552881824536e-06
bravo_without_replacement | p=0.7 | min_stop=300 | alpha=1,325,4.32753590058383e-06,8.846875019642617e-10,2.175518743269394e-07,4.32753590058383e-06,1.581769234337725e-05,5.0702246322225336e-05,0.0001426178044838509,0.0003521484699308059,0.0007632876634528236,0.00145186492406922,0.003539755870607399,0.0050566093588876706,0.004168986084096423,0.0019412873710917531,0.0004958770417285135,6.68899523367405e-05,4.537874828328392e-06
bravo_without_replacement | p=0.7 | min_stop=300 | alpha=1,328,2.5599908423329857e-06,4.64776754209984e-10,1.2320515809031702e-07,2.5599908423329857e-06,9.545369280687217e-06,3.117422382583567e-05,8.923465414767375e-05,0.00022395137248953987,0.0004927924543414082,0.0009504545832601295,0.002374006696704927,0.0034576831990528684,0.0028923594707120134,0.0013596504554367675,0.00034878655938835114,4.699031964231599e-05,3.165317701158084e-06
