,,0.5,0.5,0.52,0.55,0.57,0.59,0.62,0.7
bravo_without_replacement | p=0.7 | alpha=0.05752734375,9,0.001953125,0.001953125,0.0027799058836357133,0.004605366583984379,0.0063514619553840515,0.008662995818654935,0.013537086546263554,0.04035360699999998
bravo_without_replacement | p=0.7 | alpha=0.05752734375,11,0.00439453125,0.00439453125,0.006244780576999265,0.010258454065825203,0.01401068992738168,0.018860208196793658,0.028704038312697237,0.07626831722999995
bravo_without_replacement | p=0.7 | alpha=0.05752734375,14,0.0032958984375,0.0032958984375,0.004863135363899332,0.008378592358262733,0.011744348746108272,0.016150486644327524,0.025157137706473865,0.06726865579685998
bravo_without_replacement | p=0.7 | alpha=0.05752734375,17,0.00249481201171875,0.00249481201171875,0.0038222428389712896,0.00690657841332045,0.009935760144428207,0.013958137937544024,0.022252673482085858,0.059880315101838194
bravo_without_replacement | p=0.7 | alpha=0.05752734375,19,0.003753662109375,0.003753662109375,0.00574169604651693,0.010287633680612005,0.014656212442917213,0.020320795045984278,0.03155257611266885,0.07567992851769935
bravo_without_replacement | p=0.7 | alpha=0.05752734375,22,0.002355337142944336,0.002355337142944336,0.003740899268744736,0.007029772585073944,0.010278454311759692,0.014558494507428112,0.023136075347382185,0.0558452113986147
bravo_without_replacement | p=0.7 | alpha=0.05752734375,24,0.003325045108795166,0.003325045108795166,0.0052726026926256195,0.009824736942549001,0.014225763127224336,0.01988642823502728,0.03078005759110996,0.06622312731582768
bravo_without_replacement | p=0.7 | alpha=0.05752734375,27,0.002008773386478424,0.002008773386478424,0.003307473423427476,0.006463715238429695,0.009605437076550307,0.013717281740392936,0.02173000344342723,0.04704900162544287
bravo_without_replacement | p=0.7 | alpha=0.05752734375,29,0.0027835071086883545,0.0027835071086883545,0.004575750379073166,0.008867042674627028,0.013049137963666036,0.018391845384300914,0.028376345377051866,0.0547634861874521
bravo_without_replacement | p=0.7 | alpha=0.05752734375,32,0.0016611118335276842,0.0016611118335276842,0.002835350631981122,0.00576253021664842,0.008703551712219981,0.012531691976996552,0.019788822879489215,0.03843305842787285
bravo_without_replacement | p=0.7 | alpha=0.05752734375,34,0.002287840412463993,0.002287840412463993,0.0038988650258320085,0.007857334918202355,0.011752402898653862,0.016700613537346035,0.02568514926001595,0.04446426187313416
bravo_without_replacement | p=0.7 | alpha=0.05752734375,37,0.001360311172902584,0.001360311172902584,0.002407069612993893,0.005087631915949969,0.007809933996529832,0.011337644397526728,0.0178464399276057,0.03109073198648511
bravo_without_replacement | p=0.7 | alpha=0.05752734375,39,0.0018710146559897112,0.0018710146559897112,0.0033054618336085836,0.006927711635364213,0.010531484439874615,0.015088901215310148,0.023132671796355673,0.035921061115709266
bravo_without_replacement | p=0.7 | alpha=0.05752734375,42,0.001112224950475138,0.001112224950475138,0.0020402599406877274,0.004484697201973175,0.006997021175997192,0.010241201855263579,0.016069346028292478,0.025111457648939395
bravo_without_replacement | p=0.7 | alpha=0.05752734375,44,0.0015307378624243029,0.0015307378624243029,0.002803485188892398,0.00611049666488749,0.009441145310692156,0.013638134747792451,0.020842109405964582,0.02903082649735462
bravo_without_replacement | p=0.7 | alpha=0.05752734375,47,0.0009110857630432179,0.0009110857630432179,0.0017325852523866168,0.00396061681447469,0.006280457363952111,0.00926811213746803,0.014496296713138084,0.020320068035040495
bravo_without_replacement | p=0.7 | alpha=0.05752734375,49,0.0012557533324404346,0.0012557533324404346,0.002384208680463741,0.005404345436390805,0.00848671569077203,0.012360391268649733,0.018829440961634202,0.023526077473493306
bravo_without_replacement | p=0.7 | alpha=0.05752734375,52,0.0007488159306707765,0.0007488159306707765,0.001476226211722419,0.0035094714702294696,0.005656119065885407,0.008415517384041985,0.013120945291170204,0.01649785873105648
bravo_without_replacement | p=0.7 | alpha=0.05752734375,54,0.0010339603461833602,0.0010339603461833602,0.0020351025232175496,0.004797397659126077,0.007656859071980162,0.0112436026502537,0.017073761485086388,0.019135317588711336
bravo_without_replacement | p=0.7 | alpha=0.05752734375,57,0.0006178515969457038,0.0006178515969457038,0.0012627125433755377,0.0031218633474905475,0.005113745354013998,0.007671206020238426,0.011922476168935587,0.013446934411841187
bravo_without_replacement | p=0.7 | alpha=0.05752734375,59,0.0008547493142168905,0.0008547493142168905,0.0017440689666279156,0.004275665002489393,0.006935806813565891,0.010268667548039585,0.015543768802865104,0.015626336064960743
bravo_without_replacement | p=0.7 | alpha=0.05752734375,62,0.0005118505124316554,0.0005118505124316554,0.001084441046657497,0.002788277101336119,0.0046420468932732994,0.007020957465958183,0.010877213974074542,0.011004463221381216
bravo_without_replacement | p=0.7 | alpha=0.05752734375,64,0.0007094386739134693,0.0007094386739134693,0.0015006597597412123,0.003825981308251442,0.006307896272413684,0.009415945127647011,0.014207729062636091,0.012812086631635196
bravo_without_replacement | p=0.7 | alpha=0.05752734375,67,0.0004257140576453771,0.0004257140576453771,0.0009350251239759257,0.0025001948453816894,0.004230540225195929,0.006451265532136382,0.009962876824923736,0.009041288346407206
bravo_without_replacement | p=0.7 | alpha=0.05752734375,69,0.0005911178693699125,0.0005911178693699125,0.0012962356142279786,0.003436886156882195,0.005759108069974727,0.008667560348876752,0.01303695406207628,0.010545464229976055
